date,series_id,value,realtime_start,realtime_end
1/1/15,CPIAUCSL,234.747,10/4/24,10/4/24
2/1/15,CPIAUCSL,235.342,10/4/24,10/4/24
3/1/15,CPIAUCSL,235.976,10/4/24,10/4/24
4/1/15,CPIAUCSL,236.222,10/4/24,10/4/24
5/1/15,CPIAUCSL,237.001,10/4/24,10/4/24
6/1/15,CPIAUCSL,237.657,10/4/24,10/4/24
7/1/15,CPIAUCSL,238.034,10/4/24,10/4/24
8/1/15,CPIAUCSL,238.033,10/4/24,10/4/24
9/1/15,CPIAUCSL,237.498,10/4/24,10/4/24
10/1/15,CPIAUCSL,237.733,10/4/24,10/4/24
11/1/15,CPIAUCSL,238.017,10/4/24,10/4/24
12/1/15,CPIAUCSL,237.761,10/4/24,10/4/24
1/1/16,CPIAUCSL,237.652,10/4/24,10/4/24
2/1/16,CPIAUCSL,237.336,10/4/24,10/4/24
3/1/16,CPIAUCSL,238.08,10/4/24,10/4/24
4/1/16,CPIAUCSL,238.992,10/4/24,10/4/24
5/1/16,CPIAUCSL,239.557,10/4/24,10/4/24
6/1/16,CPIAUCSL,240.222,10/4/24,10/4/24
7/1/16,CPIAUCSL,240.101,10/4/24,10/4/24
8/1/16,CPIAUCSL,240.545,10/4/24,10/4/24
9/1/16,CPIAUCSL,241.176,10/4/24,10/4/24
10/1/16,CPIAUCSL,241.741,10/4/24,10/4/24
11/1/16,CPIAUCSL,242.026,10/4/24,10/4/24
12/1/16,CPIAUCSL,242.637,10/4/24,10/4/24
1/1/17,CPIAUCSL,243.618,10/4/24,10/4/24
2/1/17,CPIAUCSL,244.006,10/4/24,10/4/24
3/1/17,CPIAUCSL,243.892,10/4/24,10/4/24
4/1/17,CPIAUCSL,244.193,10/4/24,10/4/24
5/1/17,CPIAUCSL,244.004,10/4/24,10/4/24
6/1/17,CPIAUCSL,244.163,10/4/24,10/4/24
7/1/17,CPIAUCSL,244.243,10/4/24,10/4/24
8/1/17,CPIAUCSL,245.183,10/4/24,10/4/24
9/1/17,CPIAUCSL,246.435,10/4/24,10/4/24
10/1/17,CPIAUCSL,246.626,10/4/24,10/4/24
11/1/17,CPIAUCSL,247.284,10/4/24,10/4/24
12/1/17,CPIAUCSL,247.805,10/4/24,10/4/24
1/1/18,CPIAUCSL,248.859,10/4/24,10/4/24
2/1/18,CPIAUCSL,249.529,10/4/24,10/4/24
3/1/18,CPIAUCSL,249.577,10/4/24,10/4/24
4/1/18,CPIAUCSL,250.227,10/4/24,10/4/24
5/1/18,CPIAUCSL,250.792,10/4/24,10/4/24
6/1/18,CPIAUCSL,251.018,10/4/24,10/4/24
7/1/18,CPIAUCSL,251.214,10/4/24,10/4/24
8/1/18,CPIAUCSL,251.663,10/4/24,10/4/24
9/1/18,CPIAUCSL,252.182,10/4/24,10/4/24
10/1/18,CPIAUCSL,252.772,10/4/24,10/4/24
11/1/18,CPIAUCSL,252.594,10/4/24,10/4/24
12/1/18,CPIAUCSL,252.767,10/4/24,10/4/24
1/1/19,CPIAUCSL,252.561,10/4/24,10/4/24
2/1/19,CPIAUCSL,253.319,10/4/24,10/4/24
3/1/19,CPIAUCSL,254.277,10/4/24,10/4/24
4/1/19,CPIAUCSL,255.233,10/4/24,10/4/24
5/1/19,CPIAUCSL,255.296,10/4/24,10/4/24
6/1/19,CPIAUCSL,255.213,10/4/24,10/4/24
7/1/19,CPIAUCSL,255.802,10/4/24,10/4/24
8/1/19,CPIAUCSL,256.036,10/4/24,10/4/24
9/1/19,CPIAUCSL,256.43,10/4/24,10/4/24
10/1/19,CPIAUCSL,257.155,10/4/24,10/4/24
11/1/19,CPIAUCSL,257.879,10/4/24,10/4/24
12/1/19,CPIAUCSL,258.63,10/4/24,10/4/24
1/1/20,CPIAUCSL,258.906,10/4/24,10/4/24
2/1/20,CPIAUCSL,259.246,10/4/24,10/4/24
3/1/20,CPIAUCSL,258.15,10/4/24,10/4/24
4/1/20,CPIAUCSL,256.126,10/4/24,10/4/24
5/1/20,CPIAUCSL,255.848,10/4/24,10/4/24
6/1/20,CPIAUCSL,257.004,10/4/24,10/4/24
7/1/20,CPIAUCSL,258.408,10/4/24,10/4/24
8/1/20,CPIAUCSL,259.366,10/4/24,10/4/24
9/1/20,CPIAUCSL,259.951,10/4/24,10/4/24
10/1/20,CPIAUCSL,260.249,10/4/24,10/4/24
11/1/20,CPIAUCSL,260.895,10/4/24,10/4/24
12/1/20,CPIAUCSL,262.005,10/4/24,10/4/24
1/1/21,CPIAUCSL,262.518,10/4/24,10/4/24
2/1/21,CPIAUCSL,263.583,10/4/24,10/4/24
3/1/21,CPIAUCSL,264.91,10/4/24,10/4/24
4/1/21,CPIAUCSL,266.752,10/4/24,10/4/24
5/1/21,CPIAUCSL,268.452,10/4/24,10/4/24
6/1/21,CPIAUCSL,270.664,10/4/24,10/4/24
7/1/21,CPIAUCSL,271.994,10/4/24,10/4/24
8/1/21,CPIAUCSL,272.789,10/4/24,10/4/24
9/1/21,CPIAUCSL,273.887,10/4/24,10/4/24
10/1/21,CPIAUCSL,276.434,10/4/24,10/4/24
11/1/21,CPIAUCSL,278.799,10/4/24,10/4/24
12/1/21,CPIAUCSL,280.808,10/4/24,10/4/24
1/1/22,CPIAUCSL,282.39,10/4/24,10/4/24
2/1/22,CPIAUCSL,284.535,10/4/24,10/4/24
3/1/22,CPIAUCSL,287.553,10/4/24,10/4/24
4/1/22,CPIAUCSL,288.764,10/4/24,10/4/24
5/1/22,CPIAUCSL,291.359,10/4/24,10/4/24
6/1/22,CPIAUCSL,294.996,10/4/24,10/4/24
7/1/22,CPIAUCSL,294.977,10/4/24,10/4/24
8/1/22,CPIAUCSL,295.209,10/4/24,10/4/24
9/1/22,CPIAUCSL,296.341,10/4/24,10/4/24
10/1/22,CPIAUCSL,297.863,10/4/24,10/4/24
11/1/22,CPIAUCSL,298.648,10/4/24,10/4/24
12/1/22,CPIAUCSL,298.812,10/4/24,10/4/24
1/1/23,CPIAUCSL,300.356,10/4/24,10/4/24
2/1/23,CPIAUCSL,301.509,10/4/24,10/4/24
3/1/23,CPIAUCSL,301.744,10/4/24,10/4/24
4/1/23,CPIAUCSL,303.032,10/4/24,10/4/24
5/1/23,CPIAUCSL,303.365,10/4/24,10/4/24
6/1/23,CPIAUCSL,304.003,10/4/24,10/4/24
7/1/23,CPIAUCSL,304.628,10/4/24,10/4/24
8/1/23,CPIAUCSL,306.187,10/4/24,10/4/24
9/1/23,CPIAUCSL,307.288,10/4/24,10/4/24
10/1/23,CPIAUCSL,307.531,10/4/24,10/4/24
11/1/23,CPIAUCSL,308.024,10/4/24,10/4/24
12/1/23,CPIAUCSL,308.742,10/4/24,10/4/24
1/1/24,CPIAUCSL,309.685,10/4/24,10/4/24
2/1/24,CPIAUCSL,311.054,10/4/24,10/4/24
3/1/24,CPIAUCSL,312.23,10/4/24,10/4/24
4/1/24,CPIAUCSL,313.207,10/4/24,10/4/24
5/1/24,CPIAUCSL,313.225,10/4/24,10/4/24
6/1/24,CPIAUCSL,313.049,10/4/24,10/4/24
7/1/24,CPIAUCSL,313.534,10/4/24,10/4/24
8/1/24,CPIAUCSL,314.121,10/4/24,10/4/24