date,gdp
1/1/15,18063.529
2/1/15,18138.01683
3/1/15,18205.29617
4/1/15,18279.784
5/1/15,18319.95169
6/1/15,18361.45831
7/1/15,18401.626
8/1/15,18412.91775
9/1/15,18424.2095
10/1/15,18435.137
11/1/15,18465.7313
12/1/15,18495.3387
1/1/16,18525.933
2/1/16,18589.21695
3/1/16,18648.41805
4/1/16,18711.702
5/1/16,18771.35156
6/1/16,18832.98944
7/1/16,18892.639
8/1/16,18958.93183
9/1/16,19025.22465
10/1/16,19089.379
11/1/16,19153.63829
12/1/16,19215.82471
1/1/17,19280.084
2/1/17,19334.69877
3/1/17,19384.02823
4/1/17,19438.643
5/1/17,19522.36344
6/1/17,19608.87456
7/1/17,19692.595
8/1/17,19808.67416
9/1/17,19924.75333
10/1/17,20037.088
11/1/17,20135.29903
12/1/17,20230.34197
1/1/18,20328.553
2/1/18,20415.47666
3/1/18,20493.98834
4/1/18,20580.912
5/1/18,20652.72013
6/1/18,20726.92187
7/1/18,20798.73
8/1/18,20838.87399
9/1/18,20879.01798
10/1/18,20917.867
11/1/18,20983.1466
12/1/18,21046.3204
1/1/19,21111.6
2/1/19,21210.22753
3/1/19,21299.31047
4/1/19,21397.938
5/1/19,21503.17965
6/1/19,21611.92935
7/1/19,21717.171
8/1/19,21789.96911
9/1/19,21862.76722
10/1/19,21933.217
11/1/19,21863.95222
12/1/19,21796.92178
1/1/20,21727.657
2/1/20,21117.1229
3/1/20,20545.9781
4/1/20,19935.444
5/1/20,20512.07268
6/1/20,21107.92232
7/1/20,21684.551
8/1/20,21814.01509
9/1/20,21943.47917
10/1/20,22068.767
11/1/20,22266.9062
12/1/20,22458.6538
1/1/21,22656.793
2/1/21,22902.06087
3/1/21,23123.59313
4/1/21,23368.861
5/1/21,23551.21155
6/1/21,23739.64045
7/1/21,23921.991
8/1/21,24210.10466
9/1/21,24498.21833
10/1/21,24777.038
11/1/21,24924.7776
12/1/21,25067.7514
1/1/22,25215.491
2/1/22,25418.81656
3/1/22,25602.46544
4/1/22,25805.791
5/1/22,25959.4899
6/1/22,26118.3121
7/1/22,26272.011
8/1/22,26427.77454
9/1/22,26583.53809
10/1/22,26734.277
11/1/22,26879.19593
12/1/22,27019.44007
1/1/23,27164.359
2/1/23,27264.06051
3/1/23,27354.11349
4/1/23,27453.815
5/1/23,27623.22665
6/1/23,27798.28535
7/1/23,27967.697
8/1/23,28078.64667
9/1/23,28189.59635
10/1/23,28296.967
11/1/23,28407.18615
12/1/23,28513.84985
1/1/24,28624.069
2/1/24,28757.82719
3/1/24,28882.95581
4/1/24,29016.714